fid	dist	x	y	value_s
0	89.0	77761.18505061489	74764.62498968636	{1: 247.5175018310547}
0	90.0	77761.8395193907	74765.3810787165	{1: 248.60617065429688}
0	91.0	77762.4939881665	74766.13716774664	{1: 248.19248962402344}
0	92.0	77763.1484569423	74766.89325677678	{1: 246.27999877929688}
0	93.0	77763.80292571812	74767.64934580692	{1: 245.0273895263672}
0	94.0	77764.45739449392	74768.40543483706	{1: 243.25196838378906}
0	95.0	77765.11186326972	74769.1615238672	{1: 242.90750122070312}
0	96.0	77765.76633204553	74769.91761289733	{1: 242.90750122070312}
0	97.0	77766.42080082133	74770.67370192747	{1: 242.96749877929688}
0	98.0	77767.07526959713	74771.42979095761	{1: 242.99000549316406}
0	99.0	77767.72973837295	74772.18587998775	{1: 242.99249267578125}
0	100.0	77768.38420714875	74772.94196901789	{1: 242.984619140625}
0	101.0	77769.03867592454	74773.69805804803	{1: 242.98899841308594}
0	102.0	77769.69314470036	74774.45414707817	{1: 242.9875030517578}
0	103.0	77770.34761347616	74775.21023610831	{1: 242.95249938964844}
0	104.0	77771.00208225196	74775.96632513845	{1: 242.92498779296875}
0	105.0	77771.65655102777	74776.72241416859	{1: 243.6374969482422}
0	106.0	77772.31101980357	74777.47850319873	{1: 248.19500732421875}
0	107.0	77772.96548857937	74778.23459222887	{1: 248.16749572753906}
0	108.0	77773.61995735519	74778.990681259	{1: 248.64749145507812}
0	109.0	77774.27442613099	74779.74677028914	{1: 249.54000854492188}
0	110.0	77774.92889490678	74780.50285931928	{1: 251.06500244140625}
0	111.0	77775.5833636826	74781.25894834942	{1: 251.10000610351562}
0	112.0	77776.2378324584	74782.01503737956	{1: 248.32000732421875}
0	113.0	77776.8923012342	74782.7711264097	{1: 248.32000732421875}
0	114.0	77777.54677001001	74783.52721543984	{1: 251.04393005371094}
0	115.0	77778.20123878581	74784.28330446998	{1: 259.5975036621094}
0	116.0	77778.85570756161	74785.03939350012	{1: 260.6025085449219}
0	117.0	77779.51017633743	74785.79548253026	{1: 260.9225158691406}
0	118.0	77780.16464511323	74786.5515715604	{1: 262.2850036621094}
0	119.0	77780.81911388903	74787.30766059054	{1: 263.9375}
0	120.0	77781.47358266484	74788.06374962068	{1: 265.29498291015625}
0	121.0	77782.12805144064	74788.81983865082	{1: 265.5975036621094}
0	122.0	77782.78252021644	74789.57592768095	{1: 265.1974792480469}
0	123.0	77783.43698899225	74790.3320167111	{1: 264.73248291015625}
0	124.0	77784.09145776805	74791.08810574123	{1: 264.49249267578125}
0	125.0	77784.74592654385	74791.84419477137	{1: 264.49249267578125}
0	126.0	77785.40039531967	74792.60028380151	{1: 263.9850158691406}
0	127.0	77786.05486409547	74793.35637283165	{1: 262.8575134277344}
0	128.0	77786.70933287128	74794.11246186179	{1: 261.8025207519531}
0	129.0	77787.36380164708	74794.86855089193	{1: 260.93499755859375}
0	130.0	77788.01827042288	74795.62463992207	{1: 259.19000244140625}
0	131.0	77788.6727391987	74796.38072895221	{1: 258.62750244140625}
0	132.0	77789.3272079745	74797.13681798235	{1: 258.05499267578125}
0	133.0	77789.98167675029	74797.89290701249	{1: 258.05499267578125}
0	134.0	77790.6361455261	74798.64899604263	{1: 256.0400085449219}
0	135.0	77791.2906143019	74799.40508507277	{1: 257.3450012207031}
0	136.0	77791.9450830777	74800.1611741029	{1: 257.3125}
0	137.0	77792.59955185352	74800.91726313304	{1: 258.8974914550781}
0	138.0	77793.25402062932	74801.67335216318	{1: 263.5675048828125}
0	139.0	77793.90848940512	74802.42944119332	{1: 264.1374816894531}
0	140.0	77794.56295818093	74803.18553022346	{1: 267.80999755859375}
0	141.0	77795.21742695673	74803.9416192536	{1: 268.8299865722656}
0	142.0	77795.87189573253	74804.69770828374	{1: 269.3974914550781}
0	143.0	77796.52636450835	74805.45379731388	{1: 271.5899963378906}
0	144.0	77797.18083328415	74806.20988634402	{1: 272.14501953125}
0	145.0	77797.83530205995	74806.96597537416	{1: 272.14501953125}
0	146.0	77798.48977083576	74807.7220644043	{1: 272.4949951171875}
0	147.0	77799.14423961156	74808.47815343444	{1: 271.9474792480469}
0	148.0	77799.79870838736	74809.23424246458	{1: 270.4599914550781}
0	149.0	77800.45317716317	74809.99033149472	{1: 270.0675048828125}
0	150.0	77801.10764593897	74810.74642052485	{1: 268.4375}
0	151.0	77801.76211471477	74811.502509555	{1: 262.94500732421875}
0	152.0	77802.41658349059	74812.25859858513	{1: 265.3274841308594}
0	153.0	77803.07105226639	74813.01468761527	{1: 257.81500244140625}
0	154.0	77803.72552104219	74813.77077664541	{1: 257.81500244140625}
0	155.0	77804.379989818	74814.52686567555	{1: 253.17750549316406}
0	156.0	77805.0344585938	74815.28295470569	{1: 249.03500366210938}
0	157.0	77805.6889273696	74816.03904373583	{1: 248.2899932861328}
0	158.0	77806.34339614541	74816.79513276597	{1: 247.97499084472656}
0	159.0	77806.99786492121	74817.55122179611	{1: 247.9949951171875}
0	160.0	77807.65233369701	74818.30731082625	{1: 248.04750061035156}
0	161.0	77808.30680247283	74819.06339985639	{1: 252.5850067138672}
0	162.0	77808.96127124863	74819.81948888653	{1: 252.5850067138672}
0	163.0	77809.61574002443	74820.57557791666	{1: 257.9574890136719}
0	164.0	77810.27020880024	74821.3316669468	{1: 259.29998779296875}
0	165.0	77810.92467757604	74822.08775597694	{1: 259.2275085449219}
0	166.0	77811.57914635184	74822.84384500708	{1: 259.0450134277344}
0	167.0	77812.23361512765	74823.59993403722	{1: 258.5224914550781}
0	168.0	77812.88808390345	74824.35602306736	{1: 257.875}
0	169.0	77813.54255267925	74825.1121120975	{1: 255.8675079345703}
0	170.0	77814.19702145507	74825.86820112764	{1: 255.3574981689453}
0	171.0	77814.85149023087	74826.62429015778	{1: 253.8925018310547}
0	172.0	77815.50595900667	74827.38037918792	{1: 256.0950012207031}
0	173.0	77816.16042778248	74828.13646821806	{1: 258.9100036621094}
0	174.0	77816.81489655828	74828.8925572482	{1: 258.9100036621094}
0	175.0	77817.46936533408	74829.64864627834	{1: 258.8224792480469}
0	176.0	77818.1238341099	74830.40473530848	{1: 256.8374938964844}
0	177.0	77818.7783028857	74831.16082433861	{1: 256.5350036621094}
0	178.0	77819.43277166151	74831.91691336875	{1: 255.04750061035156}
0	179.0	77820.08724043731	74832.6730023989	{1: 249.83499145507812}
0	180.0	77820.7417092131	74833.42909142903	{1: 248.19248962402344}
0	181.0	77821.39617798892	74834.18518045917	{1: 248.2375030517578}
0	182.0	77822.05064676472	74834.94126948931	{1: 248.3074951171875}
0	183.0	77822.70511554052	74835.69735851945	{1: 248.34500122070312}
0	184.0	77823.35958431633	74836.45344754959	{1: 250.9875030517578}
0	185.0	77824.01405309213	74837.20953657973	{1: 254.78750610351562}
0	186.0	77824.66852186793	74837.96562560987	{1: 254.78750610351562}
0	187.0	77825.32299064375	74838.72171464	{1: 255.99249267578125}
0	188.0	77825.97745941955	74839.47780367015	{1: 256.05499267578125}
0	189.0	77826.63192819535	74840.23389270029	{1: 255.90499877929688}
0	190.0	77827.28639697116	74840.98998173042	{1: 255.8125}
0	191.0	77827.94086574696	74841.74607076056	{1: 255.94500732421875}
0	192.0	77828.59533452276	74842.5021597907	{1: 257.07000732421875}
0	193.0	77829.24980329857	74843.25824882084	{1: 257.927490234375}
0	194.0	77829.90427207437	74844.01433785098	{1: 258.2699890136719}
0	195.0	77830.55874085017	74844.77042688112	{1: 258.3999938964844}
0	196.0	77831.21320962599	74845.52651591126	{1: 258.7174987792969}
0	197.0	77831.86767840179	74846.2826049414	{1: 261.82501220703125}
0	198.0	77832.52214717759	74847.03869397154	{1: 264.8374938964844}
0	199.0	77833.1766159534	74847.79478300168	{1: 264.7975158691406}
0	200.0	77833.8310847292	74848.55087203182	{1: 265.25250244140625}
1	0	77695.3764392669	74703.877753762	{1: 255.6925048828125}
1	1.0	77696.0309080427	74704.63384279214	{1: 251.6425018310547}
1	2.0	77696.68537681851	74705.38993182228	{1: 251.45750427246094}
1	3.0	77697.33984559431	74706.14602085242	{1: 254.66250610351562}
1	4.0	77697.99431437011	74706.90210988256	{1: 254.66250610351562}
1	5.0	77698.64878314592	74707.6581989127	{1: 255.8524932861328}
1	6.0	77699.30325192172	74708.41428794284	{1: 251.50999450683594}
1	7.0	77699.95772069752	74709.17037697298	{1: 253.10250854492188}
1	8.0	77700.61218947334	74709.92646600312	{1: 249.95750427246094}
1	9.0	77701.26665824914	74710.68255503326	{1: 250.94216918945312}
1	10.0	77701.92112702494	74711.4386440634	{1: 255.00437927246094}
1	11.0	77702.57559580075	74712.19473309354	{1: 261.6551208496094}
1	12.0	77703.23006457655	74712.95082212368	{1: 264.8496398925781}
1	13.0	77703.88453335235	74713.70691115381	{1: 269.12213134765625}
1	14.0	77704.53900212816	74714.46300018395	{1: 271.3399963378906}
1	15.0	77705.19347090396	74715.2190892141	{1: 271.7149963378906}
1	16.0	77705.84793967976	74715.97517824423	{1: 271.7149963378906}
1	17.0	77706.50240845558	74716.73126727437	{1: 271.23748779296875}
1	18.0	77707.15687723138	74717.48735630451	{1: 270.1625061035156}
1	19.0	77707.81134600718	74718.24344533465	{1: 270.82000732421875}
1	20.0	77708.46581478299	74718.99953436479	{1: 269.385009765625}
1	21.0	77709.12028355879	74719.75562339493	{1: 265.6724853515625}
1	22.0	77709.77475233459	74720.51171242507	{1: 269.5199890136719}
