fid	dist	x	y	value_s
0	145.0	77792.96468117369	74807.67067928647	{1: 260.0950012207031}
0	146.0	77793.23542762024	74808.63332998204	{1: 261.62249755859375}
0	147.0	77793.5061740668	74809.59598067761	{1: 259.6650085449219}
0	148.0	77793.77692051337	74810.55863137318	{1: 257.2624816894531}
0	149.0	77794.04766695993	74811.52128206874	{1: 260.0299987792969}
0	150.0	77794.3184134065	74812.48393276431	{1: 259.1374816894531}
0	151.0	77794.58915985304	74813.44658345988	{1: 256.7149963378906}
0	152.0	77794.8599062996	74814.40923415544	{1: 254.1175079345703}
0	153.0	77795.13065274617	74815.371884851	{1: 252.80499267578125}
0	154.0	77795.40139919273	74816.33453554657	{1: 249.71249389648438}
0	155.0	77795.6721456393	74817.29718624214	{1: 248.7624969482422}
0	156.0	77795.94289208585	74818.25983693771	{1: 248.90499877929688}
0	157.0	77796.21363853241	74819.22248763328	{1: 252.58250427246094}
0	158.0	77796.48438497898	74820.18513832884	{1: 255.24000549316406}
0	159.0	77796.75513142554	74821.14778902441	{1: 255.74000549316406}
0	160.0	77797.0258778721	74822.11043971997	{1: 256.10748291015625}
0	161.0	77797.29662431865	74823.07309041554	{1: 256.44500732421875}
0	162.0	77797.56737076522	74824.0357411111	{1: 256.5950012207031}
0	163.0	77797.83811721178	74824.99839180667	{1: 256.5950012207031}
0	164.0	77798.10886365834	74825.96104250224	{1: 255.89749145507812}
0	165.0	77798.37961010491	74826.92369319781	{1: 254.7624969482422}
0	166.0	77798.65035655147	74827.88634389338	{1: 253.97499084472656}
0	167.0	77798.92110299802	74828.84899458895	{1: 251.78250122070312}
0	168.0	77799.19184944459	74829.8116452845	{1: 247.49501037597656}
0	169.0	77799.46259589115	74830.77429598007	{1: 247.5124969482422}
0	170.0	77799.73334233771	74831.73694667564	{1: 247.58749389648438}
0	171.0	77800.00408878428	74832.6995973712	{1: 247.69749450683594}
0	172.0	77800.27483523083	74833.66224806677	{1: 247.677490234375}
0	173.0	77800.54558167739	74834.62489876234	{1: 247.6699981689453}
0	174.0	77800.81632812395	74835.58754945791	{1: 247.65499877929688}
0	175.0	77801.08707457052	74836.55020015348	{1: 247.6649932861328}
0	176.0	77801.35782101708	74837.51285084903	{1: 247.6374969482422}
0	177.0	77801.62856746363	74838.4755015446	{1: 247.6300048828125}
0	178.0	77801.8993139102	74839.43815224017	{1: 247.67250061035156}
0	179.0	77802.17006035676	74840.40080293574	{1: 249.57249450683594}
0	180.0	77802.44080680332	74841.3634536313	{1: 250.5749969482422}
0	181.0	77802.71155324989	74842.32610432687	{1: 253.2100067138672}
0	182.0	77802.98229969645	74843.28875502244	{1: 255.68499755859375}
0	183.0	77803.253046143	74844.25140571801	{1: 255.35000610351562}
0	184.0	77803.52379258956	74845.21405641356	{1: 255.34500122070312}
0	185.0	77803.79453903613	74846.17670710913	{1: 255.6300048828125}
0	186.0	77804.06528548269	74847.1393578047	{1: 256.25750732421875}
0	187.0	77804.33603192926	74848.10200850027	{1: 260.75750732421875}
0	188.0	77804.6067783758	74849.06465919584	{1: 265.30999755859375}
0	189.0	77804.87752482237	74850.0273098914	{1: 265.4775085449219}
0	190.0	77805.14827126893	74850.98996058697	{1: 265.44000244140625}
0	191.0	77805.4190177155	74851.95261128253	{1: 265.7325134277344}
0	192.0	77805.68976416206	74852.9152619781	{1: 265.6349792480469}
0	193.0	77805.96051060861	74853.87791267366	{1: 265.4200134277344}
0	194.0	77806.23125705517	74854.84056336923	{1: 265.6075134277344}
0	195.0	77806.50200350174	74855.8032140648	{1: 265.864990234375}
0	196.0	77806.7727499483	74856.76586476037	{1: 265.8849792480469}
0	197.0	77807.04349639486	74857.72851545594	{1: 265.9700012207031}
0	198.0	77807.31424284141	74858.6911661515	{1: 265.9200134277344}
0	199.0	77807.58498928798	74859.65381684706	{1: 266.1549987792969}
1	0	77744.07993946665	74670.79379289495	{1: 257.7174987792969}
1	1.0	77744.35068591322	74671.75644359052	{1: 258.5274963378906}
1	2.0	77744.62143235978	74672.71909428609	{1: 258.489990234375}
1	3.0	77744.89217880633	74673.68174498166	{1: 258.8230285644531}
1	4.0	77745.1629252529	74674.64439567721	{1: 263.1600036621094}
1	5.0	77745.43367169946	74675.60704637278	{1: 261.7099914550781}
1	6.0	77745.70441814602	74676.56969706835	{1: 260.9324951171875}
1	7.0	77745.97516459259	74677.53234776392	{1: 258.2225036621094}
1	8.0	77746.24591103914	74678.49499845949	{1: 258.5350036621094}
1	9.0	77746.5166574857	74679.45764915505	{1: 253.1125030517578}
1	10.0	77746.78740393226	74680.42029985062	{1: 249.74249267578125}
1	11.0	77747.05815037883	74681.38295054619	{1: 249.8050079345703}
1	12.0	77747.32889682539	74682.34560124174	{1: 249.82000732421875}
1	13.0	77747.59964327195	74683.30825193731	{1: 249.8249969482422}
1	14.0	77747.8703897185	74684.27090263288	{1: 249.81500244140625}
1	15.0	77748.14113616507	74685.23355332845	{1: 249.8125}
1	16.0	77748.41188261163	74686.19620402402	{1: 249.8175048828125}
1	17.0	77748.6826290582	74687.15885471959	{1: 249.8699951171875}
1	18.0	77748.95337550476	74688.12150541515	{1: 249.90249633789062}
1	19.0	77749.22412195131	74689.08415611072	{1: 249.70999145507812}
1	20.0	77749.49486839787	74690.04680680628	{1: 248.9875030517578}
1	21.0	77749.76561484444	74691.00945750184	{1: 247.90750122070312}
1	22.0	77750.036361291	74691.97210819741	{1: 249.83499145507812}
1	23.0	77750.30710773756	74692.93475889298	{1: 249.0399932861328}
1	24.0	77750.57785418411	74693.89740958855	{1: 247.9600067138672}
1	25.0	77750.84860063068	74694.86006028412	{1: 246.70249938964844}
1	26.0	77751.11934707724	74695.82271097969	{1: 246.7725067138672}
1	27.0	77751.3900935238	74696.78536167525	{1: 244.91250610351562}
1	28.0	77751.66083997037	74697.74801237081	{1: 244.71249389648438}
1	29.0	77751.93158641693	74698.71066306638	{1: 245.7725067138672}
1	30.0	77752.20233286348	74699.67331376194	{1: 249.3824920654297}
1	31.0	77752.47307931005	74700.63596445751	{1: 248.91749572753906}
1	32.0	77752.74382575661	74701.59861515308	{1: 248.64500427246094}
1	33.0	77753.01457220317	74702.56126584865	{1: 248.58749389648438}
1	34.0	77753.28531864974	74703.52391654422	{1: 248.5574951171875}
1	35.0	77753.55606509629	74704.48656723979	{1: 248.5449981689453}
1	36.0	77753.82681154285	74705.44921793534	{1: 248.50999450683594}
1	37.0	77754.09755798941	74706.41186863091	{1: 248.49249267578125}
1	38.0	77754.36830443598	74707.37451932648	{1: 248.44749450683594}
1	39.0	77754.63905088254	74708.33717002205	{1: 248.4324951171875}
1	40.0	77754.90979732909	74709.29982071761	{1: 248.4324951171875}
1	41.0	77755.18054377566	74710.26247141318	{1: 248.9324951171875}
1	42.0	77755.45129022222	74711.22512210875	{1: 249.10499572753906}
1	43.0	77755.72203666878	74712.1877728043	{1: 248.9324951171875}
1	44.0	77755.99278311535	74713.15042349987	{1: 248.33750915527344}
1	45.0	77756.2635295619	74714.11307419544	{1: 246.1175079345703}
1	46.0	77756.53427600846	74715.07572489101	{1: 247.00250244140625}
1	47.0	77756.80502245502	74716.03837558658	{1: 247.8249969482422}
1	48.0	77757.07576890159	74717.00102628215	{1: 246.82249450683594}
1	49.0	77757.34651534815	74717.96367697771	{1: 246.82249450683594}
1	50.0	77757.61726179472	74718.92632767328	{1: 247.59500122070312}
1	51.0	77757.88800824127	74719.88897836884	{1: 247.52000427246094}
1	52.0	77758.15875468783	74720.8516290644	{1: 247.37249755859375}
1	53.0	77758.4295011344	74721.81427975997	{1: 247.3300018310547}
1	54.0	77758.70024758096	74722.77693045554	{1: 248.34750366210938}
1	55.0	77758.97099402752	74723.73958115111	{1: 249.43499755859375}
1	56.0	77759.24174047407	74724.70223184668	{1: 249.2574920654297}
1	57.0	77759.51248692063	74725.66488254225	{1: 248.41249084472656}
1	58.0	77759.7832333672	74726.62753323781	{1: 247.4824981689453}
1	59.0	77760.05397981376	74727.59018393337	{1: 247.7550048828125}
1	60.0	77760.32472626033	74728.55283462894	{1: 248.13499450683594}
1	61.0	77760.59547270687	74729.5154853245	{1: 247.69749450683594}
1	62.0	77760.86621915344	74730.47813602007	{1: 247.1875}
1	63.0	77761.1369656	74731.44078671564	{1: 247.53749084472656}
1	64.0	77761.40771204657	74732.40343741121	{1: 246.5699920654297}
1	65.0	77761.67845849313	74733.36608810678	{1: 246.5850067138672}
1	66.0	77761.94920493968	74734.32873880235	{1: 247.5625}
1	67.0	77762.21995138624	74735.2913894979	{1: 247.98500061035156}
1	68.0	77762.4906978328	74736.25404019347	{1: 247.19000244140625}
1	69.0	77762.76144427937	74737.21669088904	{1: 246.14999389648438}
1	70.0	77763.03219072593	74738.1793415846	{1: 245.88250732421875}
1	71.0	77763.3029371725	74739.14199228017	{1: 245.88999938964844}
1	72.0	77763.57368361905	74740.10464297574	{1: 245.90249633789062}
1	73.0	77763.84443006561	74741.06729367131	{1: 245.9199981689453}
1	74.0	77764.11517651218	74742.02994436688	{1: 245.93499755859375}
1	75.0	77764.38592295874	74742.99259506243	{1: 245.93499755859375}
1	76.0	77764.6566694053	74743.955245758	{1: 245.93499755859375}
1	77.0	77764.92741585185	74744.91789645357	{1: 245.94500732421875}
1	78.0	77765.19816229842	74745.88054714914	{1: 245.95999145507812}
1	79.0	77765.46890874498	74746.8431978447	{1: 245.95750427246094}
1	80.0	77765.73965519154	74747.80584854027	{1: 245.9550018310547}
1	81.0	77766.01040163811	74748.76849923584	{1: 246.5}
1	82.0	77766.28114808466	74749.7311499314	{1: 246.2050018310547}
1	83.0	77766.55189453122	74750.69380062696	{1: 245.9425048828125}
1	84.0	77766.82264097779	74751.65645132253	{1: 249.74000549316406}
1	85.0	77767.09338742435	74752.6191020181	{1: 255.9824981689453}
1	86.0	77767.36413387091	74753.58175271367	{1: 256.3399963378906}
1	87.0	77767.63488031748	74754.54440340924	{1: 256.9150085449219}
1	88.0	77767.90562676403	74755.5070541048	{1: 256.4849853515625}
1	89.0	77768.17637321059	74756.46970480037	{1: 257.4049987792969}
1	90.0	77768.44711965715	74757.43235549593	{1: 257.697509765625}
1	91.0	77768.71786610372	74758.3950061915	{1: 257.37750244140625}
1	92.0	77768.98861255028	74759.35765688706	{1: 256.2024841308594}
1	93.0	77769.25935899683	74760.32030758263	{1: 255.34249877929688}
1	94.0	77769.5301054434	74761.2829582782	{1: 254.5449981689453}
